FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.001037344398340249,0.9987616539001465
0.0,0.02074688796680498,0.9987472295761108
0.0,0.022821576763485476,0.9987465143203735
0.0,0.028008298755186723,0.9987447261810303
0.0,0.03008298755186722,0.9987446069717407
0.0,0.03630705394190872,0.9987389445304871
0.0,0.038381742738589214,0.9987388253211975
0.0,0.044605809128630707,0.9987366795539856
0.0,0.046680497925311204,0.998736560344696
0.0,0.04771784232365145,0.9987364411354065
0.0,0.04979253112033195,0.9987359642982483
0.0,0.05394190871369295,0.9987348914146423
0.0,0.056016597510373446,0.9987345337867737
0.0,0.05705394190871369,0.9987342953681946
0.0,0.05912863070539419,0.9987340569496155
0.0,0.06224066390041494,0.9987339377403259
0.0,0.06327800829875518,0.9987334609031677
0.0,0.06639004149377593,0.9987333416938782
0.0,0.07053941908713693,0.9987323880195618
0.0,0.07365145228215768,0.9987319111824036
0.0,0.07572614107883817,0.9987316727638245
0.0,0.07780082987551867,0.9987313151359558
0.0,0.08091286307053942,0.9987309575080872
0.0,0.08298755186721991,0.9987300038337708
0.0,0.08713692946058091,0.9987292885780334
0.0,0.0912863070539419,0.9987284541130066
0.0,0.09336099585062241,0.9987282156944275
0.0,0.09439834024896265,0.9987279772758484
0.0,0.09647302904564316,0.9987276196479797
0.0,0.1016597510373444,0.9987260699272156
0.0,0.10580912863070539,0.9987258315086365
0.0,0.11307053941908714,0.9987242817878723
0.0,0.11514522821576763,0.9987241625785828
0.0,0.11929460580912864,0.9987234473228455
0.0,0.12344398340248963,0.9987230896949768
0.0,0.12448132780082988,0.9987229704856873
0.0,0.12655601659751037,0.9987227320671082
0.0,0.12966804979253113,0.99872225522995
0.0,0.1338174273858921,0.9987221360206604
0.0,0.1358921161825726,0.9987217783927917
0.0,0.13900414937759337,0.9987216591835022
0.0,0.1400414937759336,0.9987215399742126
0.0,0.14315352697095435,0.9987213015556335
0.0,0.14937759336099585,0.9987207055091858
0.0,0.1524896265560166,0.9987205862998962
0.0,0.1566390041493776,0.9987202882766724
0.0,0.15871369294605808,0.9987199306488037
0.0,0.1607883817427386,0.9987198114395142
0.0,0.16182572614107885,0.9987196922302246
0.0,0.16493775933609958,0.9987195730209351
0.0,0.16701244813278007,0.9987192153930664
0.0,0.17116182572614108,0.9987189769744873
0.0,0.17427385892116182,0.9987175464630127
0.0,0.17842323651452283,0.998717188835144
0.0,0.17946058091286307,0.9987170696258545
0.0,0.18153526970954356,0.9987167119979858
0.0,0.18360995850622408,0.9987163543701172
0.0,0.18775933609958506,0.9987159967422485
0.0,0.19190871369294607,0.9987155199050903
0.0,0.20020746887966806,0.998714804649353
0.0,0.2012448132780083,0.9987145662307739
0.0,0.2033195020746888,0.9987142086029053
0.0,0.20435684647302904,0.9987139701843262
0.0,0.20850622406639005,0.9987136125564575
0.0,0.21161825726141079,0.9987128973007202
0.0,0.21369294605809128,0.9987127780914307
0.0,0.21473029045643152,0.9987126588821411
0.0,0.21680497925311204,0.9987121820449829
0.0,0.21784232365145229,0.9987120628356934
0.0,0.21991701244813278,0.9987119436264038
0.0,0.22095435684647302,0.9987115859985352
0.0,0.22510373443983403,0.998711347579956
0.0,0.22717842323651452,0.9987112283706665
0.0,0.229253112033195,0.9987109899520874
0.0,0.23236514522821577,0.9987106323242188
0.0,0.23340248962655602,0.9987105131149292
0.0,0.2354771784232365,0.9987103939056396
0.0,0.237551867219917,0.998710036277771
0.0,0.24066390041493776,0.9987097978591919
0.0,0.24273858921161826,0.9987096786499023
0.0,0.2479253112033195,0.9987095594406128
0.0,0.25,0.9987090826034546
0.0,0.25622406639004147,0.9987084865570068
0.0,0.258298755186722,0.9987082481384277
0.0,0.26141078838174275,0.9987081289291382
0.0,0.26348547717842324,0.9987077713012695
0.0,0.2645228215767635,0.99870765209198
0.0,0.2676348547717842,0.9987075328826904
0.0,0.2697095435684647,0.9987074136734009
0.0,0.27074688796680496,0.9987072944641113
0.0,0.27385892116182575,0.9987070560455322
0.0,0.274896265560166,0.9987068176269531
0.0,0.2769709543568465,0.998706579208374
0.0,0.27800829875518673,0.9987064599990845
0.0,0.2821576763485477,0.9987062215805054
0.0,0.2863070539419087,0.9987061023712158
0.0,0.28734439834024894,0.9987059831619263
0.0,0.29045643153526973,0.9987058639526367
0.0,0.2925311203319502,0.9987057447433472
0.0,0.29564315352697096,0.9987050294876099
0.0,0.2987551867219917,0.9987049102783203
0.0,0.31742738589211617,0.9987003803253174
0.0,0.31950207468879666,0.9987002611160278
0.0,0.32676348547717843,0.9986987113952637
0.0,0.3288381742738589,0.998698353767395
0.0,0.32987551867219916,0.9986982345581055
0.0,0.33195020746887965,0.9986979961395264
0.0,0.3329875518672199,0.9986978769302368
0.0,0.33713692946058094,0.9986974596977234
0.0,0.3392116182572614,0.9986972212791443
0.0,0.3412863070539419,0.9986971020698547
0.0,0.34647302904564314,0.9986963868141174
0.0,0.35269709543568467,0.9986960291862488
0.0,0.35684647302904565,0.9986959099769592
0.0,0.3599585062240664,0.9986957907676697
0.0,0.3620331950207469,0.9986955523490906
0.0,0.3651452282157676,0.998695433139801
0.0,0.36618257261410786,0.9986953139305115
0.0,0.3703319502074689,0.9986951947212219
0.0,0.37136929460580914,0.9986950755119324
0.0,0.3744813278008299,0.9986949563026428
0.0,0.37863070539419086,0.9986948370933533
0.0,0.38070539419087135,0.9986945986747742
0.0,0.38278008298755184,0.9986940026283264
0.0,0.3848547717842324,0.9986934065818787
0.0,0.3879668049792531,0.9986932873725891
0.0,0.39107883817427386,0.9986929297447205
0.0,0.3941908713692946,0.9986928105354309
0.0,0.3962655601659751,0.9986923336982727
0.0,0.3993775933609959,0.9986922144889832
0.0,0.40145228215767637,0.998691976070404
0.0,0.4045643153526971,0.9986918568611145
0.0,0.40767634854771784,0.9986914992332458
0.0,0.4118257261410788,0.9986913800239563
0.0,0.41286307053941906,0.9986912608146667
0.0,0.4170124481327801,0.9986909031867981
0.0,0.4211618257261411,0.9986900687217712
0.0,0.42738589211618255,0.9986897110939026
0.0,0.4336099585062241,0.9986885190010071
0.0,0.43568464730290457,0.998688280582428
0.0,0.4387966804979253,0.9986881613731384
0.0,0.43983402489626555,0.9986880421638489
0.0,0.4460580912863071,0.9986878037452698
0.0,0.4491701244813278,0.9986874461174011
0.0,0.4512448132780083,0.9986870884895325
0.0,0.4533195020746888,0.9986866116523743
0.0,0.4574688796680498,0.9986864924430847
0.0,0.46265560165975106,0.9986863732337952
0.0,0.46473029045643155,0.9986860156059265
0.0,0.46680497925311204,0.9986857771873474
0.0,0.46887966804979253,0.9986854195594788
0.0,0.4699170124481328,0.9986853003501892
0.0,0.47199170124481327,0.9986851811408997
0.0,0.47406639004149376,0.9986844658851624
0.0,0.4782157676348548,0.9986841082572937
0.0,0.4802904564315353,0.9986836314201355
0.0,0.4823651452282158,0.998683512210846
0.0,0.48651452282157676,0.99868243932724
0.0,0.48858921161825725,0.9986823201179504
0.0,0.49896265560165975,0.9986792206764221
0.0,0.5010373443983402,0.9986788630485535
0.0,0.5051867219917012,0.9986775517463684
0.0,0.5093360995850622,0.9986769556999207
0.0,0.5124481327800829,0.9986768364906311
0.0,0.5155601659751037,0.9986756443977356
0.0,0.5186721991701245,0.9986754059791565
0.0,0.5259336099585062,0.9986735582351685
0.0,0.529045643153527,0.9986732006072998
0.0,0.5321576763485477,0.9986727237701416
0.0,0.5342323651452282,0.998672604560852
0.0,0.5414937759336099,0.9986705780029297
0.0,0.5435684647302904,0.9986704587936401
0.0,0.5508298755186722,0.9986692667007446
0.0,0.5549792531120332,0.9986691474914551
0.0,0.5622406639004149,0.9986690282821655
0.0,0.5663900414937759,0.9986687898635864
0.0,0.5695020746887967,0.9986686706542969
0.0,0.5715767634854771,0.9986683130264282
0.0,0.5736514522821576,0.9986679553985596
0.0,0.5757261410788381,0.99866783618927
0.0,0.5767634854771784,0.9986673593521118
0.0,0.578838174273859,0.9986672401428223
0.0,0.5809128630705395,0.9986667633056641
0.0,0.58298755186722,0.998666524887085
0.0,0.5923236514522822,0.9986650943756104
0.0,0.5943983402489627,0.9986647367477417
0.0,0.6016597510373444,0.9986631870269775
