FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.0007374631268436578,0.9987616539001465
0.0,0.015486725663716814,0.9987472295761108
0.0,0.01696165191740413,0.9987465143203735
0.0,0.017699115044247787,0.9987457990646362
0.0,0.019174041297935103,0.9987454414367676
0.0,0.022123893805309734,0.9987447261810303
0.0,0.02359882005899705,0.9987446069717407
0.0,0.028761061946902654,0.9987389445304871
0.0,0.03023598820058997,0.9987388253211975
0.0,0.03466076696165192,0.9987366795539856
0.0,0.036135693215339236,0.998736560344696
0.0,0.03761061946902655,0.9987362027168274
0.0,0.03908554572271387,0.9987359642982483
0.0,0.04056047197640118,0.9987354874610901
0.0,0.0420353982300885,0.998735249042511
0.0,0.043510324483775814,0.9987348914146423
0.0,0.04498525073746313,0.9987345337867737
0.0,0.045722713864306784,0.9987342953681946
0.0,0.0471976401179941,0.9987340569496155
0.0,0.049410029498525077,0.9987339377403259
0.0,0.05014749262536873,0.9987334609031677
0.0,0.05235988200589971,0.9987333416938782
0.0,0.05383480825958702,0.9987327456474304
0.0,0.05457227138643068,0.9987326264381409
0.0,0.05604719764011799,0.9987323880195618
0.0,0.05825958702064897,0.9987319111824036
0.0,0.059734513274336286,0.9987316727638245
0.0,0.0612094395280236,0.9987313151359558
0.0,0.06342182890855458,0.9987309575080872
0.0,0.06415929203539823,0.9987307190895081
0.0,0.06563421828908554,0.9987305998802185
0.0,0.06637168141592921,0.9987303614616394
0.0,0.06784660766961652,0.9987300038337708
0.0,0.0700589970501475,0.9987295269966125
0.0,0.0715339233038348,0.9987292885780334
0.0,0.0752212389380531,0.9987284541130066
0.0,0.07743362831858407,0.9987282156944275
0.0,0.07817109144542773,0.9987279772758484
0.0,0.07964601769911504,0.9987276196479797
0.0,0.0803834808259587,0.9987271428108215
0.0,0.08185840707964602,0.998727023601532
0.0,0.08480825958702065,0.9987260699272156
0.0,0.08628318584070796,0.998725950717926
0.0,0.08849557522123894,0.9987258315086365
0.0,0.09292035398230089,0.9987249970436096
0.0,0.0943952802359882,0.9987248778343201
0.0,0.09587020648967552,0.9987242817878723
0.0,0.09734513274336283,0.9987241625785828
0.0,0.10029498525073746,0.9987234473228455
0.0,0.10324483775811209,0.9987232089042664
0.0,0.10545722713864307,0.9987230896949768
0.0,0.10619469026548672,0.9987229704856873
0.0,0.1084070796460177,0.9987227320671082
0.0,0.11061946902654868,0.99872225522995
0.0,0.11356932153392331,0.9987221360206604
0.0,0.11430678466076696,0.9987220168113708
0.0,0.11578171091445427,0.9987217783927917
0.0,0.11799410029498525,0.9987216591835022
0.0,0.1187315634218289,0.9987215399742126
0.0,0.12315634218289086,0.9987213015556335
0.0,0.1261061946902655,0.9987210631370544
0.0,0.12684365781710916,0.9987209439277649
0.0,0.12831858407079647,0.9987207055091858
0.0,0.13053097345132744,0.9987205862998962
0.0,0.13200589970501475,0.9987205266952515
0.0,0.13421828908554573,0.9987202882766724
0.0,0.13569321533923304,0.9987200498580933
0.0,0.1364306784660767,0.9987199306488037
0.0,0.137905604719764,0.9987198114395142
