Dataset,Samples,Positive,Negative,Accuracy,Precision,Recall,F1,AUC,TN,FP,FN,TP
Train,2433,964,1469,0.9654747225647349,0.9932735426008968,0.9190871369294605,0.9547413793103449,0.98185883077375,1463,6,78,886
Validation,495,181,314,0.9696969696969697,1.0,0.9171270718232044,0.9567723342939481,0.9818770454305522,314,0,15,166
Test,525,211,314,0.9447619047619048,0.989247311827957,0.8720379146919431,0.9269521410579346,0.9752618709813747,312,2,27,184
