epoch,loss
1,1.256807
2,1.225818
3,1.193946
4,1.134741
5,1.099053
6,1.04527
7,1.015833
8,0.986423
9,0.969839
10,0.9497
11,0.935627
12,0.910196
13,0.897796
14,0.875356
15,0.854868
16,0.841605
17,0.824403
18,0.813613
19,0.80132
20,0.792328
21,0.778819
22,0.771434
23,0.764564
24,0.760455
25,0.74974
26,0.742976
27,0.735204
28,0.727324
29,0.723572
30,0.715521
31,0.712019
32,0.704812
33,0.70137
34,0.695741
35,0.691791
36,0.686849
37,0.684115
38,0.68014
39,0.677021
40,0.673037
41,0.671577
42,0.669048
43,0.665625
44,0.663281
45,0.660119
46,0.659062
47,0.658102
48,0.656275
49,0.655534
50,0.654167
51,0.650744
52,0.649306
53,0.648037
54,0.646577
55,0.646354
56,0.644494
57,0.642396
58,0.639549
59,0.637847
60,0.635714
61,0.634255
62,0.632412
63,0.63113
64,0.630208
65,0.630208
66,0.630729
67,0.630521
68,0.627367
69,0.62488
70,0.623264
71,0.622917
72,0.622222
73,0.622326
74,0.620964
75,0.619792
76,0.619444
77,0.617909
78,0.617188
79,0.616319
80,0.615825
81,0.617303
82,0.616255
83,0.614062
84,0.61238
85,0.611458
86,0.611458
87,0.610938
88,0.610069
89,0.609375
90,0.610417
91,0.609505
92,0.608475
93,0.609233
94,0.608475
95,0.607812
96,0.606771
97,0.605729
98,0.60535
99,0.604367
100,0.604167
101,0.604167
102,0.603854
103,0.603267
104,0.603125
105,0.602225
106,0.601562
107,0.601042
108,0.601042
109,0.600347
110,0.6
111,0.599688
112,0.598958
113,0.598264
114,0.598117
115,0.598758
116,0.598264
117,0.597396
118,0.596875
119,0.596875
120,0.596146
121,0.596733
122,0.595833
123,0.596354
124,0.595691
125,0.595312
126,0.594792
127,0.59375
128,0.59375
129,0.593608
130,0.59375
131,0.593438
132,0.59285
133,0.592014
134,0.591667
135,0.591354
136,0.591146
137,0.591667
138,0.590972
139,0.590312
140,0.589583
141,0.589583
142,0.589441
143,0.588854
144,0.588542
145,0.588542
146,0.588229
147,0.587642
148,0.588021
149,0.587642
150,0.5875
151,0.586979
152,0.586979
153,0.586771
154,0.586111
155,0.585729
156,0.585417
157,0.585275
158,0.585417
159,0.585417
160,0.585104
161,0.584517
162,0.585275
163,0.584028
164,0.584233
165,0.584233
166,0.584062
167,0.583646
168,0.583333
169,0.583333
170,0.583191
171,0.582434
172,0.582292
173,0.582292
174,0.582292
175,0.581597
176,0.58125
177,0.58125
178,0.580938
179,0.580729
180,0.580409
181,0.58125
182,0.581108
183,0.580208
184,0.580208
185,0.580208
186,0.580208
187,0.579896
188,0.579688
189,0.579167
190,0.579167
191,0.579167
192,0.578854
193,0.578646
194,0.579025
195,0.578267
196,0.578125
197,0.578125
198,0.578125
199,0.577813
200,0.577604
201,0.577604
202,0.577225
203,0.577083
204,0.576771
205,0.576562
206,0.576354
207,0.576042
208,0.576042
209,0.576042
210,0.576042
211,0.576042
212,0.576042
213,0.575521
214,0.5759
215,0.575142
216,0.575
217,0.575312
218,0.575521
219,0.575
220,0.575
221,0.574688
222,0.574479
223,0.574479
224,0.573958
225,0.573958
226,0.573958
227,0.573958
228,0.573958
229,0.573958
230,0.573646
231,0.573059
232,0.573229
233,0.573816
234,0.573059
235,0.572917
236,0.572917
237,0.572604
238,0.572775
239,0.572396
240,0.572396
241,0.572775
242,0.572017
243,0.571875
244,0.571875
245,0.572017
246,0.571875
247,0.571875
248,0.571875
249,0.571562
250,0.571354
251,0.571354
252,0.571354
253,0.571354
254,0.570833
255,0.570833
256,0.570833
257,0.570833
258,0.570833
259,0.570833
260,0.570833
261,0.570691
262,0.569792
263,0.570104
264,0.569792
265,0.569792
266,0.569792
267,0.569792
268,0.569792
269,0.569792
270,0.569792
271,0.569792
272,0.569479
273,0.56965
274,0.569271
275,0.56875
276,0.56875
277,0.56875
278,0.56875
279,0.568608
280,0.56875
281,0.56875
282,0.56875
283,0.568438
284,0.568229
285,0.568229
286,0.568021
287,0.567708
288,0.567708
289,0.567708
290,0.567708
291,0.567708
292,0.567396
293,0.567188
294,0.567188
295,0.567188
296,0.567188
297,0.567188
298,0.566809
299,0.566667
300,0.566667
301,0.566667
302,0.566525
303,0.566146
304,0.566525
305,0.566667
306,0.566667
307,0.566667
308,0.565767
309,0.565625
310,0.565625
311,0.565625
312,0.565625
313,0.565625
314,0.565625
315,0.565625
316,0.565625
317,0.565625
318,0.565625
319,0.565104
320,0.565104
321,0.565104
322,0.565104
323,0.565104
324,0.564896
325,0.564583
326,0.564583
327,0.564583
328,0.564583
329,0.564583
330,0.564583
331,0.564583
332,0.564583
333,0.564583
334,0.564441
335,0.564583
336,0.564583
337,0.564441
338,0.564062
339,0.564062
340,0.564271
341,0.563854
342,0.563542
343,0.563542
344,0.563542
345,0.563542
346,0.563542
347,0.563542
348,0.563542
349,0.563542
350,0.563542
351,0.563542
352,0.563229
353,0.563542
354,0.563542
355,0.563021
356,0.563021
357,0.563021
358,0.562812
359,0.5625
360,0.563194
361,0.563021
362,0.5625
363,0.5625
364,0.5625
365,0.5625
366,0.5625
367,0.5625
368,0.5625
369,0.562358
370,0.5625
371,0.5625
372,0.562188
373,0.561979
374,0.561979
375,0.561979
376,0.561979
377,0.561979
378,0.561979
379,0.561979
380,0.561771
381,0.561979
382,0.561979
383,0.5616
384,0.561458
385,0.561458
386,0.561458
387,0.561458
388,0.561458
389,0.561458
390,0.561458
391,0.561458
392,0.561316
393,0.561458
394,0.561458
395,0.561458
396,0.561146
397,0.561316
398,0.560938
399,0.561316
400,0.561316
401,0.560938
402,0.560938
403,0.560938
404,0.560938
405,0.560938
406,0.560559
407,0.560938
408,0.560938
409,0.560938
410,0.560938
411,0.560938
412,0.560729
413,0.560559
414,0.560559
415,0.560938
416,0.560938
417,0.560938
418,0.560938
419,0.560559
420,0.560417
421,0.560729
422,0.560807
423,0.560417
424,0.560938
425,0.560729
426,0.560417
427,0.560417
428,0.560417
429,0.560417
430,0.560417
431,0.560417
432,0.560026
433,0.560275
434,0.560417
435,0.560417
436,0.560807
437,0.560417
438,0.560193
439,0.559896
440,0.559896
441,0.560417
442,0.560417
443,0.560417
444,0.560417
445,0.560026
446,0.559517
447,0.559896
448,0.560417
449,0.560417
450,0.560417
451,0.560193
452,0.559375
453,0.559687
454,0.560417
455,0.560417
456,0.560417
457,0.560417
458,0.55978
459,0.559375
460,0.559896
461,0.560417
462,0.560417
463,0.560417
464,0.560417
465,0.559375
466,0.559517
467,0.560417
468,0.560417
469,0.560417
470,0.560417
471,0.559583
472,0.559375
473,0.559896
474,0.560417
475,0.560417
476,0.560417
477,0.560417
478,0.559375
479,0.559375
480,0.560417
481,0.560417
482,0.560312
483,0.560417
484,0.559433
485,0.558854
486,0.559449
487,0.560312
488,0.559896
489,0.560417
490,0.560156
491,0.559375
492,0.559375
493,0.560417
494,0.560417
495,0.560417
496,0.560156
497,0.559003
498,0.558854
499,0.55978
500,0.560243
